communication_id,customer_id,client_id,sent_date,channel,message_type,ab_test_group,message_tone,delivered_flag,opened_or_clicked_flag,days_after_upload
COMM0000001,DCUST000001,DSC006,2023-04-04,SMS,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0000002,DCUST000002,DSC001,2022-12-11,SMS,Initial Invite,Not Applicable,Informational,1,1,1
COMM0000003,DCUST000002,DSC001,2022-12-16,Letter,Reminder 1,Not Applicable,Informational,1,0,6
COMM0000004,DCUST000002,DSC001,2022-12-20,Email,Reminder 2,Not Applicable,Supportive,1,0,10
COMM0000005,DCUST000003,DSC002,2023-01-02,SMS,Initial Invite,Control,Direct,1,1,1
COMM0000006,DCUST000004,DSC001,2023-03-24,SMS,Initial Invite,Control,Direct,1,0,0
COMM0000007,DCUST000004,DSC001,2023-04-06,Email,Reminder 1,Not Applicable,Informational,1,0,13
COMM0000008,DCUST000005,DSC001,2023-05-01,SMS,Initial Invite,Not Applicable,Informational,1,1,0
COMM0000009,DCUST000005,DSC001,2023-05-10,SMS,Reminder 1,Not Applicable,Direct,1,0,9
COMM0000010,DCUST000006,DSC007,2022-09-02,Email,Initial Invite,Not Applicable,Informational,1,1,0
COMM0000011,DCUST000006,DSC007,2022-09-08,Letter,Reminder 1,Not Applicable,Informational,1,0,6
COMM0000012,DCUST000007,DSC009,2022-11-04,Letter,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000013,DCUST000007,DSC009,2022-11-18,SMS,Reminder 1,Not Applicable,Direct,1,0,14
COMM0000014,DCUST000007,DSC009,2022-11-14,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,1,10
COMM0000015,DCUST000008,DSC002,2022-10-17,SMS,Initial Invite,Not Applicable,Informational,1,1,0
COMM0000016,DCUST000008,DSC002,2022-10-26,Email,Reminder 1,Not Applicable,Informational,1,0,9
COMM0000017,DCUST000008,DSC002,2022-10-29,SMS,Reminder 2,Not Applicable,Supportive,1,0,12
COMM0000018,DCUST000009,DSC007,2023-03-26,SMS,Initial Invite,Control,Direct,1,0,0
COMM0000019,DCUST000009,DSC007,2023-04-08,SMS,Reminder 1,Not Applicable,Informational,1,0,13
COMM0000020,DCUST000009,DSC007,2023-04-04,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,0,9
COMM0000021,DCUST000010,DSC008,2023-01-19,Letter,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000022,DCUST000010,DSC008,2023-01-27,SMS,Reminder 1,Variant,Supportive,1,1,10
COMM0000023,DCUST000011,DSC004,2022-06-08,Letter,Initial Invite,Not Applicable,Informational,1,0,1
COMM0000024,DCUST000012,DSC002,2023-02-13,Email,Initial Invite,Not Applicable,Direct,1,0,0
COMM0000025,DCUST000012,DSC002,2023-02-17,SMS,Reminder 1,Variant,Supportive,1,1,4
COMM0000026,DCUST000012,DSC002,2023-03-05,SMS,Reminder 2,Variant,Supportive,1,0,20
COMM0000027,DCUST000013,DSC007,2023-01-01,SMS,Initial Invite,Control,Direct,1,0,2
COMM0000028,DCUST000013,DSC007,2023-01-12,Letter,Reminder 1,Not Applicable,Informational,1,0,13
COMM0000029,DCUST000014,DSC002,2023-03-11,SMS,Initial Invite,Variant,Supportive,0,0,0
COMM0000030,DCUST000014,DSC002,2023-03-17,Letter,Reminder 1,Not Applicable,Informational,1,0,6
COMM0000031,DCUST000015,DSC007,2023-02-17,Letter,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000032,DCUST000015,DSC007,2023-03-02,SMS,Reminder 1,Control,Direct,1,0,13
COMM0000033,DCUST000016,DSC005,2022-08-22,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0000034,DCUST000016,DSC005,2022-08-28,SMS,Reminder 1,Not Applicable,Direct,1,1,6
COMM0000035,DCUST000016,DSC005,2022-09-09,SMS,Reminder 2,Not Applicable,Supportive,1,1,18
COMM0000036,DCUST000017,DSC009,2023-01-07,SMS,Initial Invite,Not Applicable,Direct,1,0,2
COMM0000037,DCUST000018,DSC002,2022-11-28,Letter,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000038,DCUST000019,DSC007,2023-04-21,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0000039,DCUST000020,DSC004,2022-11-24,SMS,Initial Invite,Not Applicable,Informational,1,1,2
COMM0000040,DCUST000020,DSC004,2022-11-28,Letter,Reminder 1,Not Applicable,Informational,1,0,6
COMM0000041,DCUST000021,DSC002,2022-10-11,SMS,Initial Invite,Not Applicable,Supportive,1,1,0
COMM0000042,DCUST000021,DSC002,2022-10-18,SMS,Reminder 1,Not Applicable,Supportive,0,0,7
COMM0000043,DCUST000022,DSC001,2022-10-23,SMS,Initial Invite,Not Applicable,Informational,1,1,0
COMM0000044,DCUST000022,DSC001,2022-10-30,Email,Reminder 1,Not Applicable,Supportive,1,0,7
COMM0000045,DCUST000022,DSC001,2022-11-10,Email,Reminder 2,Not Applicable,Direct,1,0,18
COMM0000046,DCUST000023,DSC004,2022-09-13,SMS,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0000047,DCUST000024,DSC005,2023-04-19,Letter,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000048,DCUST000024,DSC005,2023-04-27,SMS,Reminder 1,Not Applicable,Informational,1,0,8
COMM0000049,DCUST000025,DSC001,2022-11-08,SMS,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0000050,DCUST000025,DSC001,2022-11-16,Email,Reminder 1,Not Applicable,Informational,1,0,9
COMM0000051,DCUST000026,DSC001,2022-06-17,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0000052,DCUST000026,DSC001,2022-06-23,SMS,Reminder 1,Not Applicable,Direct,0,0,7
COMM0000053,DCUST000026,DSC001,2022-07-06,Letter,Reminder 2,Not Applicable,Informational,1,0,20
COMM0000054,DCUST000027,DSC004,2022-11-12,Email,Initial Invite,Not Applicable,Informational,1,0,1
COMM0000055,DCUST000027,DSC004,2022-11-24,Email,Reminder 1,Not Applicable,Supportive,1,1,13
COMM0000056,DCUST000028,DSC006,2023-05-26,SMS,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000057,DCUST000028,DSC006,2023-05-29,SMS,Reminder 1,Not Applicable,Supportive,1,1,5
COMM0000058,DCUST000028,DSC006,2023-05-29,Email,Reminder 2,Not Applicable,Informational,1,0,5
COMM0000059,DCUST000028,DSC006,2023-05-28,SMS,Agent Follow-up,Not Applicable,Supportive,1,0,4
COMM0000060,DCUST000029,DSC009,2022-09-07,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0000061,DCUST000029,DSC009,2022-09-17,SMS,Reminder 1,Not Applicable,Direct,1,0,10
COMM0000062,DCUST000030,DSC005,2023-05-28,SMS,Initial Invite,Not Applicable,Direct,1,0,2
COMM0000063,DCUST000030,DSC005,2023-05-27,SMS,Reminder 1,Not Applicable,Supportive,0,0,1
COMM0000064,DCUST000031,DSC009,2022-09-19,SMS,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000065,DCUST000031,DSC009,2022-09-25,Email,Reminder 1,Not Applicable,Informational,1,0,6
