customer_id,client_id,account_upload_date,portfolio_type,debt_balance,balance_band,debt_age_days,debt_age_band,customer_age_band,region,vulnerability_flag,preferred_contact_channel,account_status
DCUST000001,DSC006,2023-04-02,Early Arrears,340.19,Medium,90,31-90,18-24,East Midlands,0,SMS,No Engagement
DCUST000002,DSC001,2022-12-10,Recoveries,5664.98,Very High,274,181-365,25-34,London,0,SMS,Open
DCUST000003,DSC002,2023-01-01,Early Arrears,50.21,Low,31,31-90,55+,South East,0,SMS,Paid
DCUST000004,DSC001,2023-03-24,Late Arrears,377.38,Medium,60,31-90,45-54,East Midlands,0,SMS,No Engagement
DCUST000005,DSC001,2023-05-01,Late Arrears,135.04,Low,70,31-90,45-54,London,0,SMS,Paid
DCUST000006,DSC007,2022-09-02,Purchased Debt,686.48,Medium,595,365+,45-54,Wales,0,Email,Open
DCUST000007,DSC009,2022-11-04,Late Arrears,186.77,Low,337,181-365,25-34,Northern Ireland,0,Letter,Paid
DCUST000008,DSC002,2022-10-17,Recoveries,774.59,Medium,110,91-180,25-34,West Midlands,0,SMS,Open
DCUST000009,DSC007,2023-03-26,Purchased Debt,1998.76,High,681,365+,45-54,South East,0,SMS,No Engagement
DCUST000010,DSC008,2023-01-17,Recoveries,74.32,Low,317,181-365,,South East,0,Letter,Open
DCUST000011,DSC004,2022-06-07,Late Arrears,2276.82,High,78,31-90,45-54,South West,1,Letter,No Engagement
DCUST000012,DSC002,2023-02-13,Recoveries,2297.86,High,101,91-180,35-44,London,0,Email,Open
DCUST000013,DSC007,2022-12-30,Late Arrears,313.78,Medium,169,91-180,45-54,Northern Ireland,0,SMS,No Engagement
DCUST000014,DSC002,2023-03-11,Early Arrears,472.64,Medium,42,31-90,25-34,North West,0,SMS,No Engagement
DCUST000015,DSC007,2023-02-17,Purchased Debt,834.57,Medium,466,365+,55+,South East,0,Letter,No Engagement
DCUST000016,DSC005,2022-08-22,Legal Collections,1697.63,High,209,181-365,35-44,South East,0,SMS,Open
DCUST000017,DSC009,2023-01-05,Late Arrears,3977.45,Very High,32,31-90,18-24,London,0,SMS,No Engagement
DCUST000018,DSC002,2022-11-26,Late Arrears,445.17,Medium,59,31-90,25-34,Scotland,0,Letter,No Engagement
DCUST000019,DSC007,2023-04-20,Recoveries,518.57,Medium,321,181-365,45-54,Wales,0,SMS,No Engagement
DCUST000020,DSC004,2022-11-22,Recoveries,529.69,Medium,745,365+,25-34,South East,0,SMS,Open
DCUST000021,DSC002,2022-10-11,Early Arrears,70.33,Low,66,31-90,25-34,Yorkshire,0,SMS,Open
DCUST000022,DSC001,2022-10-23,Recoveries,1986.81,High,390,365+,55+,East Midlands,0,,Broken Plan
DCUST000023,DSC004,2022-09-11,Early Arrears,958.99,Medium,13,0-30,45-54,West Midlands,0,SMS,No Engagement
DCUST000024,DSC005,2023-04-19,Recoveries,198.63,Low,312,181-365,35-44,East Midlands,0,Letter,No Engagement
DCUST000025,DSC001,2022-11-07,Recoveries,821.31,Medium,175,91-180,35-44,London,0,SMS,No Engagement
DCUST000026,DSC001,2022-06-16,Late Arrears,377.18,Medium,154,91-180,25-34,Scotland,0,SMS,No Engagement
DCUST000027,DSC004,2022-11-11,Early Arrears,1037.22,High,83,31-90,35-44,Scotland,0,Email,Open
DCUST000028,DSC006,2023-05-24,Legal Collections,175.17,Low,222,181-365,25-34,Scotland,0,SMS,Paid
DCUST000029,DSC009,2022-09-07,Legal Collections,4473.55,Very High,94,91-180,25-34,West Midlands,0,SMS,No Engagement
DCUST000030,DSC005,2023-05-26,Late Arrears,61.69,Low,49,31-90,55+,West Midlands,1,SMS,No Engagement
DCUST000031,DSC009,2022-09-19,Legal Collections,1423.84,High,258,181-365,35-44,South East,0,SMS,No Engagement
DCUST000032,DSC008,2022-08-01,Legal Collections,2252.95,High,281,181-365,18-24,South East,0,Email,No Engagement
DCUST000033,DSC002,2022-08-11,Early Arrears,468.98,Medium,49,31-90,25-34,West Midlands,0,Email,Paid
DCUST000034,DSC008,2022-06-30,Recoveries,56.12,Low,325,181-365,35-44,Yorkshire,0,SMS,No Engagement
DCUST000035,DSC007,2023-01-19,Recoveries,2187.59,High,637,365+,35-44,South West,0,Email,No Engagement
DCUST000036,DSC002,2023-01-25,Early Arrears,158.71,Low,67,31-90,35-44,East Midlands,0,Letter,Broken Plan
DCUST000037,DSC007,2023-01-06,Recoveries,790.03,Medium,311,181-365,45-54,South East,0,SMS,No Engagement
DCUST000038,DSC008,2023-03-06,Late Arrears,196.76,Low,93,91-180,25-34,Yorkshire,0,Email,Open
DCUST000039,DSC002,2023-04-07,Recoveries,108.93,Low,577,365+,35-44,London,0,SMS,No Engagement
DCUST000040,DSC004,2023-01-08,Early Arrears,673.58,Medium,48,31-90,45-54,Scotland,0,Email,No Engagement
DCUST000041,DSC001,2023-05-02,Late Arrears,533.41,Medium,328,181-365,35-44,East Midlands,0,SMS,Plan Active
DCUST000042,DSC005,2022-07-31,Recoveries,70.72,Low,160,91-180,18-24,South West,0,SMS,Open
DCUST000043,DSC002,2023-04-30,Late Arrears,637.87,Medium,73,31-90,35-44,West Midlands,0,Email,No Engagement
DCUST000044,DSC007,2023-04-30,Purchased Debt,247.13,Low,748,365+,55+,Yorkshire,1,Letter,No Engagement
DCUST000045,DSC001,2022-08-05,Late Arrears,547.93,Medium,344,181-365,25-34,Wales,0,Letter,No Engagement
DCUST000046,DSC002,2022-07-03,Early Arrears,158.08,Low,86,31-90,25-34,London,0,SMS,No Engagement
DCUST000047,DSC001,2022-10-02,Recoveries,119.82,Low,194,181-365,25-34,London,0,Email,No Engagement
DCUST000048,DSC001,2022-11-04,Late Arrears,911.98,Medium,224,181-365,25-34,South East,0,SMS,Open
DCUST000049,DSC004,2022-09-11,Early Arrears,827.49,Medium,1,0-30,18-24,West Midlands,0,Email,Broken Plan
DCUST000050,DSC004,2022-10-31,Late Arrears,122.13,Low,105,91-180,35-44,London,0,SMS,Paid
DCUST000051,DSC001,2022-08-28,Legal Collections,90.19,Low,413,365+,18-24,Yorkshire,0,Email,No Engagement
DCUST000052,DSC002,2022-07-13,Late Arrears,2800.77,High,143,91-180,25-34,North West,0,SMS,No Engagement
DCUST000053,DSC001,2023-02-24,Recoveries,2878.77,High,94,91-180,,London,0,SMS,No Engagement
DCUST000054,DSC003,2023-05-25,Early Arrears,99.0,Low,73,31-90,55+,East Midlands,0,SMS,No Engagement
DCUST000055,DSC005,2022-10-20,Late Arrears,2826.86,High,79,31-90,25-34,West Midlands,0,SMS,No Engagement
DCUST000056,DSC003,2022-07-30,Recoveries,1035.36,High,322,181-365,45-54,East Midlands,0,SMS,No Engagement
DCUST000057,DSC008,2022-08-05,Recoveries,762.66,Medium,175,91-180,25-34,West Midlands,0,SMS,No Engagement
DCUST000058,DSC005,2022-07-10,Legal Collections,880.72,Medium,208,181-365,35-44,West Midlands,0,SMS,Paid
DCUST000059,DSC002,2022-12-19,Recoveries,132.52,Low,164,91-180,35-44,West Midlands,1,SMS,No Engagement
DCUST000060,DSC007,2022-07-22,Late Arrears,90.52,Low,99,91-180,25-34,London,0,SMS,No Engagement
DCUST000061,DSC004,2022-06-13,Recoveries,2990.01,High,208,181-365,25-34,Yorkshire,0,Email,Plan Active
DCUST000062,DSC007,2023-05-13,Purchased Debt,951.76,Medium,317,181-365,25-34,North West,0,Letter,No Engagement
DCUST000063,DSC005,2022-10-11,Recoveries,392.22,Medium,136,91-180,18-24,London,0,SMS,No Engagement
DCUST000064,DSC003,2022-08-16,Early Arrears,445.94,Medium,71,31-90,25-34,North East,0,Letter,No Engagement
DCUST000065,DSC003,2022-06-11,Purchased Debt,475.26,Medium,348,181-365,25-34,South West,0,SMS,No Engagement
DCUST000066,DSC001,2022-07-10,Early Arrears,239.67,Low,14,0-30,45-54,London,0,SMS,Paid
DCUST000067,DSC004,2023-03-29,Recoveries,949.74,Medium,199,181-365,35-44,Scotland,0,SMS,No Engagement
DCUST000068,DSC005,2022-12-03,Recoveries,2864.82,High,358,181-365,35-44,Scotland,0,SMS,No Engagement
DCUST000069,DSC009,2022-09-20,Recoveries,104.36,Low,93,91-180,25-34,London,0,SMS,No Engagement
DCUST000070,DSC003,2023-03-05,Early Arrears,153.99,Low,13,0-30,25-34,South East,0,SMS,No Engagement
DCUST000071,DSC004,2023-01-02,Late Arrears,121.97,Low,172,91-180,55+,East Midlands,0,Email,No Engagement
DCUST000072,DSC004,2023-02-06,Late Arrears,3470.53,Very High,78,31-90,25-34,Scotland,0,Email,No Engagement
