event_id,customer_id,client_id,event_date,event_name,channel,device_type,session_id,days_since_invite
JEVT00000001,DCUST000001,DSC006,2023-04-04,invite_sent,SMS,,SESS0000001,0
JEVT00000002,DCUST000001,DSC006,2023-04-04,invite_delivered,SMS,,SESS0000001,0
JEVT00000003,DCUST000002,DSC001,2022-12-11,invite_sent,SMS,,SESS0000002,0
JEVT00000004,DCUST000002,DSC001,2022-12-11,invite_delivered,SMS,,SESS0000002,0
JEVT00000005,DCUST000002,DSC001,2022-12-11,link_opened,SMS,Mobile,SESS0000003,0
JEVT00000006,DCUST000003,DSC002,2023-01-02,invite_sent,SMS,,SESS0000004,0
JEVT00000007,DCUST000003,DSC002,2023-01-02,invite_delivered,SMS,,SESS0000004,0
JEVT00000008,DCUST000003,DSC002,2023-01-02,link_opened,SMS,Desktop,SESS0000005,0
JEVT00000009,DCUST000003,DSC002,2023-01-02,identity_verified,SMS,Desktop,SESS0000005,0
JEVT00000010,DCUST000003,DSC002,2023-01-02,balance_viewed,SMS,Desktop,SESS0000005,0
JEVT00000011,DCUST000003,DSC002,2023-01-02,affordability_started,SMS,Desktop,SESS0000005,0
JEVT00000012,DCUST000003,DSC002,2023-01-02,affordability_completed,SMS,Desktop,SESS0000005,0
JEVT00000013,DCUST000003,DSC002,2023-01-02,payment_option_selected,SMS,Desktop,SESS0000005,0
JEVT00000014,DCUST000003,DSC002,2023-01-02,payment_made,SMS,Mobile,SESS0000006,0
JEVT00000015,DCUST000004,DSC001,2023-03-24,invite_sent,SMS,,SESS0000007,0
JEVT00000016,DCUST000004,DSC001,2023-03-24,invite_delivered,SMS,,SESS0000007,0
JEVT00000017,DCUST000005,DSC001,2023-05-01,invite_sent,SMS,,SESS0000008,0
JEVT00000018,DCUST000005,DSC001,2023-05-01,invite_delivered,SMS,,SESS0000008,0
JEVT00000019,DCUST000005,DSC001,2023-05-01,link_opened,SMS,Mobile,SESS0000009,0
JEVT00000020,DCUST000005,DSC001,2023-05-01,identity_verified,SMS,Mobile,SESS0000009,0
JEVT00000021,DCUST000005,DSC001,2023-05-01,balance_viewed,SMS,Mobile,SESS0000009,0
JEVT00000022,DCUST000005,DSC001,2023-05-01,payment_option_selected,SMS,Mobile,SESS0000009,0
JEVT00000023,DCUST000005,DSC001,2023-05-01,payment_made,SMS,Mobile,SESS0000010,0
