payment_id,customer_id,client_id,payment_date,payment_amount,payment_method,payment_type,payment_status,days_to_payment
PAY0000001,DCUST000003,DSC002,2023-01-02,43.03,Open Banking,One-off,Successful,1
PAY0000002,DCUST000005,DSC001,2023-05-01,126.24,Card,One-off,Successful,0
PAY0000003,DCUST000007,DSC009,2022-11-16,158.69,Open Banking,One-off,Successful,12
PAY0000004,DCUST000022,DSC001,2022-10-23,237.97,Direct Debit,Plan Instalment,Successful,0
PAY0000005,DCUST000022,DSC001,2022-11-23,243.55,Card,Plan Instalment,Successful,31
PAY0000006,DCUST000022,DSC001,2022-12-23,245.03,Card,Plan Instalment,Successful,61
PAY0000007,DCUST000028,DSC006,2023-05-30,139.32,Card,One-off,Successful,6
PAY0000008,DCUST000033,DSC002,2022-08-15,50.32,Card,Plan Instalment,Successful,4
PAY0000009,DCUST000033,DSC002,2022-09-15,50.18,Direct Debit,Plan Instalment,Successful,35
PAY0000010,DCUST000033,DSC002,2022-10-15,48.07,Open Banking,Plan Instalment,Successful,65
PAY0000011,DCUST000033,DSC002,2022-11-15,48.7,Direct Debit,Plan Instalment,Successful,96
PAY0000012,DCUST000033,DSC002,2022-12-15,51.78,Open Banking,Plan Instalment,Reversed,126
PAY0000013,DCUST000033,DSC002,2023-01-15,51.2,Direct Debit,Plan Instalment,Successful,157
PAY0000014,DCUST000033,DSC002,2023-02-15,49.27,Direct Debit,Plan Instalment,Failed,188
PAY0000015,DCUST000033,DSC002,2023-03-15,50.31,Direct Debit,Plan Instalment,Failed,216
PAY0000016,DCUST000041,DSC001,2023-05-04,46.75,Open Banking,Plan Instalment,Successful,2
PAY0000017,DCUST000041,DSC001,2023-06-04,46.62,Card,Plan Instalment,Successful,33
PAY0000018,DCUST000041,DSC001,2023-07-04,46.02,Direct Debit,Plan Instalment,Successful,63
PAY0000019,DCUST000050,DSC004,2022-11-02,119.7,Card,One-off,Successful,2
PAY0000020,DCUST000058,DSC005,2022-07-10,360.08,Open Banking,One-off,Successful,0
PAY0000021,DCUST000061,DSC004,2022-06-30,290.76,Card,Plan Instalment,Successful,17
PAY0000022,DCUST000061,DSC004,2022-07-30,300.29,Direct Debit,Plan Instalment,Successful,47
PAY0000023,DCUST000061,DSC004,2022-08-30,300.81,Card,Plan Instalment,Successful,78
PAY0000024,DCUST000061,DSC004,2022-09-30,316.65,Direct Debit,Plan Instalment,Successful,109
PAY0000025,DCUST000061,DSC004,2022-10-30,309.59,Direct Debit,Plan Instalment,Successful,139
PAY0000026,DCUST000061,DSC004,2022-11-30,311.29,Direct Debit,Plan Instalment,Successful,170
PAY0000027,DCUST000066,DSC001,2022-07-13,212.17,Card,One-off,Successful,3
PAY0000028,DCUST000079,DSC003,2022-09-28,587.61,Open Banking,One-off,Successful,1
PAY0000029,DCUST000081,DSC001,2022-07-05,40.0,Direct Debit,Plan Instalment,Successful,15
PAY0000030,DCUST000082,DSC007,2022-07-10,1124.63,Open Banking,One-off,Successful,3
PAY0000031,DCUST000115,DSC003,2023-04-21,78.05,Card,One-off,Successful,3
PAY0000032,DCUST000116,DSC002,2023-03-11,445.99,Open Banking,One-off,Successful,18
PAY0000033,DCUST000121,DSC010,2022-06-22,96.05,Direct Debit,Plan Instalment,Successful,2
PAY0000034,DCUST000121,DSC010,2022-07-22,93.1,Open Banking,Plan Instalment,Successful,32
PAY0000035,DCUST000121,DSC010,2022-08-22,93.93,Direct Debit,Plan Instalment,Failed,63
PAY0000036,DCUST000121,DSC010,2022-09-22,97.48,Direct Debit,Plan Instalment,Successful,94
PAY0000037,DCUST000121,DSC010,2022-10-22,97.3,Direct Debit,Plan Instalment,Successful,124
PAY0000038,DCUST000121,DSC010,2022-11-22,93.97,Card,Plan Instalment,Successful,155
PAY0000039,DCUST000121,DSC010,2022-12-22,96.54,Direct Debit,Plan Instalment,Successful,185
PAY0000040,DCUST000121,DSC010,2023-01-22,93.9,Card,Plan Instalment,Successful,216
PAY0000041,DCUST000121,DSC010,2023-02-22,97.34,Direct Debit,Plan Instalment,Successful,247
PAY0000042,DCUST000121,DSC010,2023-03-22,90.51,Card,Plan Instalment,Successful,275
PAY0000043,DCUST000121,DSC010,2023-04-22,95.03,Direct Debit,Plan Instalment,Successful,306
PAY0000044,DCUST000121,DSC010,2023-05-22,90.19,Direct Debit,Plan Instalment,Successful,336
PAY0000045,DCUST000135,DSC010,2022-11-21,94.58,Card,Plan Instalment,Successful,2
PAY0000046,DCUST000135,DSC010,2022-12-21,90.94,Open Banking,Plan Instalment,Failed,32
PAY0000047,DCUST000135,DSC010,2023-01-21,97.32,Card,Plan Instalment,Successful,63
PAY0000048,DCUST000143,DSC008,2023-03-09,40.47,Direct Debit,Plan Instalment,Successful,9
PAY0000049,DCUST000143,DSC008,2023-04-09,39.49,Open Banking,Plan Instalment,Successful,40
PAY0000050,DCUST000143,DSC008,2023-05-09,40.21,Direct Debit,Plan Instalment,Successful,70
PAY0000051,DCUST000147,DSC008,2023-05-30,64.38,Card,Plan Instalment,Successful,3
PAY0000052,DCUST000147,DSC008,2023-06-30,64.21,Open Banking,Plan Instalment,Successful,34
PAY0000053,DCUST000158,DSC001,2023-05-25,126.34,Card,One-off,Successful,3
PAY0000054,DCUST000161,DSC001,2023-01-03,25.09,Card,Plan Instalment,Successful,1
PAY0000055,DCUST000161,DSC001,2023-02-03,24.88,Direct Debit,Plan Instalment,Successful,32
PAY0000056,DCUST000170,DSC003,2022-10-02,51.34,Open Banking,One-off,Failed,10
PAY0000057,DCUST000173,DSC004,2023-05-05,52.36,Direct Debit,Plan Instalment,Successful,2
PAY0000058,DCUST000173,DSC004,2023-06-05,49.57,Direct Debit,Plan Instalment,Successful,33
PAY0000059,DCUST000173,DSC004,2023-07-05,51.89,Card,Plan Instalment,Successful,63
PAY0000060,DCUST000180,DSC010,2023-05-29,184.64,Card,One-off,Successful,3
PAY0000061,DCUST000183,DSC005,2022-09-10,324.86,Card,One-off,Successful,20
PAY0000062,DCUST000191,DSC003,2022-10-21,129.06,Card,One-off,Reversed,1
PAY0000063,DCUST000192,DSC009,2022-10-22,427.42,Open Banking,One-off,Successful,8
PAY0000064,DCUST000195,DSC004,2022-06-14,41.86,Open Banking,Plan Instalment,Successful,1
PAY0000065,DCUST000195,DSC004,2022-07-14,42.74,Open Banking,Plan Instalment,Reversed,31
PAY0000066,DCUST000209,DSC010,2022-09-13,68.78,Card,Plan Instalment,Successful,9
PAY0000067,DCUST000209,DSC010,2022-10-13,69.85,Open Banking,Plan Instalment,Successful,39
PAY0000068,DCUST000211,DSC004,2022-08-18,236.51,Direct Debit,Plan Instalment,Successful,9
PAY0000069,DCUST000211,DSC004,2022-09-18,227.53,Direct Debit,Plan Instalment,Successful,40
PAY0000070,DCUST000217,DSC001,2023-05-08,194.2,Direct Debit,Plan Instalment,Successful,15
PAY0000071,DCUST000220,DSC009,2023-02-07,318.04,Card,Plan Instalment,Successful,1
PAY0000072,DCUST000220,DSC009,2023-03-07,312.61,Direct Debit,Plan Instalment,Successful,29
PAY0000073,DCUST000220,DSC009,2023-04-07,296.16,Direct Debit,Plan Instalment,Successful,60
PAY0000074,DCUST000229,DSC002,2022-07-23,92.95,Open Banking,One-off,Successful,4
PAY0000075,DCUST000230,DSC003,2022-10-07,100.52,Card,Plan Instalment,Successful,3
PAY0000076,DCUST000230,DSC003,2022-11-07,99.15,Open Banking,Plan Instalment,Reversed,34
PAY0000077,DCUST000230,DSC003,2022-12-07,102.8,Open Banking,Plan Instalment,Successful,64
PAY0000078,DCUST000230,DSC003,2023-01-07,96.16,Direct Debit,Plan Instalment,Reversed,95
PAY0000079,DCUST000230,DSC003,2023-02-07,100.62,Open Banking,Plan Instalment,Successful,126
PAY0000080,DCUST000230,DSC003,2023-03-07,104.44,Direct Debit,Plan Instalment,Successful,154
PAY0000081,DCUST000230,DSC003,2023-04-07,103.94,Direct Debit,Plan Instalment,Successful,185
PAY0000082,DCUST000231,DSC008,2022-06-27,202.68,Open Banking,One-off,Successful,13
PAY0000083,DCUST000245,DSC001,2022-06-07,54.92,Direct Debit,Plan Instalment,Successful,1
PAY0000084,DCUST000246,DSC005,2022-07-16,245.4,Card,One-off,Successful,2
PAY0000085,DCUST000249,DSC002,2022-08-20,90.38,Direct Debit,Plan Instalment,Successful,10
PAY0000086,DCUST000249,DSC002,2022-09-20,91.59,Open Banking,Plan Instalment,Successful,41
PAY0000087,DCUST000249,DSC002,2022-10-20,91.83,Direct Debit,Plan Instalment,Successful,71
PAY0000088,DCUST000275,DSC001,2022-09-16,179.49,Direct Debit,Plan Instalment,Successful,12
PAY0000089,DCUST000281,DSC008,2023-01-06,181.19,Card,One-off,Successful,3
PAY0000090,DCUST000283,DSC001,2022-09-02,45.38,Open Banking,One-off,Successful,8
PAY0000091,DCUST000285,DSC001,2022-08-03,248.18,Card,One-off,Successful,24
