customer_id,client_id,client_type,industry,integration_type,portfolio_type,debt_balance,balance_band,debt_age_days,debt_age_band,customer_age_band,region,vulnerability_flag,preferred_contact_channel,account_status,payment_made_flag,one_off_payment_flag,amount_collected,repayment_plan_created_flag,first_instalment_paid_flag,broken_plan_flag,affordability_completed_flag,max_missed_payment_count,customer_recovery_rate
DCUST000001,DSC006,Debt Collection Agency,Collections,Batch Upload,Early Arrears,340.19,Medium,90,31-90,18-24,East Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000002,DSC001,Utility Provider,Utilities,API,Recoveries,5664.98,Very High,274,181-365,25-34,London,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000003,DSC002,Utility Provider,Utilities,Hybrid,Early Arrears,50.21,Low,31,31-90,55+,South East,0,SMS,Paid,1,1,43.03,0,0,0,0,0,0.857
DCUST000004,DSC001,Utility Provider,Utilities,API,Late Arrears,377.38,Medium,60,31-90,45-54,East Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000005,DSC001,Utility Provider,Utilities,API,Late Arrears,135.04,Low,70,31-90,45-54,London,0,SMS,Paid,1,1,126.24,0,0,0,0,0,0.9348
DCUST000006,DSC007,Debt Purchaser,Collections,Batch Upload,Purchased Debt,686.48,Medium,595,365+,45-54,Wales,0,Email,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000007,DSC009,Legal Collections,Legal,Batch Upload,Late Arrears,186.77,Low,337,181-365,25-34,Northern Ireland,0,Letter,Paid,1,1,158.69,0,0,0,0,0,0.8497
DCUST000008,DSC002,Utility Provider,Utilities,Hybrid,Recoveries,774.59,Medium,110,91-180,25-34,West Midlands,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000009,DSC007,Debt Purchaser,Collections,Batch Upload,Purchased Debt,1998.76,High,681,365+,45-54,South East,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000010,DSC008,Telecoms,Telecoms,API,Recoveries,74.32,Low,317,181-365,,South East,0,Letter,Open,0,0,0.0,1,0,0,0,1,0.0
DCUST000011,DSC004,Consumer Lender,Financial Services,API,Late Arrears,2276.82,High,78,31-90,45-54,South West,1,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000012,DSC002,Utility Provider,Utilities,Hybrid,Recoveries,2297.86,High,101,91-180,35-44,London,0,Email,Open,0,0,0.0,0,0,0,0,0,0.0
